lead_text	photo_url	title	url	wikipedia_link
"Domitius Marsus (/ˈmɑːrsəs/) was a Latin poet, friend of Virgil and Tibullus, and contemporary of Horace. He survived Tibullus (died 19 BC), but was no longer alive when Ovid wrote (c. 12 AD) the epistle from Pontus (Ex Ponto, iv. 16) containing a list of poets. He was the author of a collection of epigrams called Cicuta (""hemlock"") for their bitter sarcasm, and of a beautiful epitaph on the death of Tibullus; of elegiac poems, probably of an erotic character; of an epic poem Amazonis; and of a prose work on wit (De urbanitate)."	http://dbpedia.org/resource/Template:EB1911_article_with_no_significant_updates	Domitius Marsus	https://dbpedia.org/page/Domitius_Marsus	http://en.wikipedia.org/wiki/Domitius_Marsus?oldid=1059597602&ns=0
"Aaron ben Menahem Mendel was a Russian rabbi, who flourished at the beginning of the nineteenth century. He wrote ""Seyag la-Torah"" (Fence to the Law), which was printed at Lemberg in 1810. This work contains references to all the passages of the Babylonian Talmud quoted in the Tosafot, but is a plagiarism from a similar work by Mordecai Yoffe."	https://jewishencyclopedia.com/articles/69-aaron-ben-menahem-mendel	Aaron ben Menahem Mendel	https://dbpedia.org/page/Aaron_ben_Menahem_Mendel	http://en.wikipedia.org/wiki/Aaron_ben_Menahem_Mendel?oldid=1115278378&ns=0
"Ida Cook (24 August 1904 – 22 December 1986) was a British campaigner for Jewish refugees and a romance novelist as Mary Burchell. Ida Cook and her sister Mary Louise Cook (1901–1991) rescued Jews from the Nazis during the 1930s. The sisters helped 29 people escape, funded mainly by Ida's writing. In 1965, the Cook sisters were honoured as Righteous among the Nations by the Yad Vashem Martyrs and Heroes Remembrance Authority in Israel."	http://dbpedia.org/resource/Novelist	Mary Burchell	https://dbpedia.org/page/Mary_Burchell	http://en.wikipedia.org/wiki/Mary_Burchell?oldid=1111194878&ns=0
"The Principality of Lüneburg (later also referred to as Celle) was a territorial division of the Duchy of Brunswick-Lüneburg within the Holy Roman Empire, immediately subordinate to the emperor. It existed from 1269 until 1705 and its territory lay within the modern-day state of Lower Saxony in Germany. The principality was named after its first capital, Lüneburg (also called Lunenburg in English), which was ruled jointly by all Brunswick-Lüneburg lines until 1637. From 1378, the seat of the principality was in Celle. It lost its independence in 1705 when it was annexed by the Electorate of Brunswick-Lüneburg, but retained its vote in the Reichstag as Brunswick-Celle."	http://dbpedia.org/resource/Lüneburg	Principality of Lüneburg	https://dbpedia.org/page/Principality_of_L%C3%BCneburg	http://en.wikipedia.org/wiki/Principality_of_Lüneburg?oldid=1096827072&ns=0
"Simen Agdestein (born 15 May 1967) is a Norwegian chess grandmaster, chess coach, author, and former professional footballer as a striker for the Norway national football team. Agdestein won eight Norwegian chess championships between 1982 and 2022. He is also the former coach of Magnus Carlsen, and brother of Carlsen's manager, Espen Agdestein. He has authored and co-authored several books on chess, including a biography of Carlsen."	http://dbpedia.org/resource/Norway	Simen Agdestein	https://dbpedia.org/page/Simen_Agdestein	http://en.wikipedia.org/wiki/Simen_Agdestein?oldid=1099157065&ns=0
"Julia Loktev (born December 12, 1969) is a Russian-American film director and video artist."	http://dbpedia.org/resource/Template:Authority_control	Julia Loktev	https://dbpedia.org/page/Julia_Loktev	http://en.wikipedia.org/wiki/Julia_Loktev?oldid=1091921269&ns=0
"Pottenstein is a town in the district of Bayreuth, in Bavaria, Germany. It is situated 23 km southwest of Bayreuth, and 26 km east of Forchheim."	http://dbpedia.org/resource/Bayreuth	"Pottenstein, Bavaria"	"https://dbpedia.org/page/Pottenstein,_Bavaria"	"http://en.wikipedia.org/wiki/Pottenstein,_Bavaria?oldid=1120366541&ns=0"
"Nicolae Bălcescu (Romanian pronunciation: [nikoˈla.e bəlˈt͡ʃesku]) (29 June 1819 – 29 November 1852) was a Romanian Wallachian soldier, historian, journalist, and leader of the 1848 Wallachian Revolution."	http://dbpedia.org/resource/Palermo	Nicolae Bălcescu	https://dbpedia.org/page/Nicolae_B%C4%83lcescu	http://en.wikipedia.org/wiki/Nicolae_Bălcescu?oldid=1123579778&ns=0
"Christos Georgiou Doumas (Greek: Χρήστος Γεωργίου Ντούμας; born 1933), is a Greek archaeology professor at the University of Athens. From 1960 up until 1980, he had a career in the Greek Archaeological Service as curator of antiquities in Attica (on the Athenian Acropolis), in the Cyclades, in the Dodecanese Islands, and in the northern Aegean islands. He conducted excavations and organized many museum exhibitions in different regions of Greece. Doumas also served as curator of the prehistoric collections of the National Archaeological Museum of Athens. Moreover, he became the director of antiquities and the director of conservation at the Hellenic Ministry of Culture. Since 1975, Doumas has been the director of excavations at Akrotiri on the Island of Thera (Santorini), as a successor to"	http://dbpedia.org/resource/Patras	Christos G. Doumas	https://dbpedia.org/page/Christos_G._Doumas	http://en.wikipedia.org/wiki/Christos_G._Doumas?oldid=1100907838&ns=0
"Baron Maejima Hisoka (前島 密, January 24, 1835 – April 27, 1919), born Ueno Fusagorō (上野 房五郎), was a Japanese statesman, politician, and businessman in Meiji-period Japan. Maejima founded the Japanese postal service, and is known as Yūbin Seido no Chichi (郵便制度の父), or ""Father of the Postal System""."	"http://dbpedia.org/resource/Miura_District,_Kanagawa"	Maejima Hisoka	https://dbpedia.org/page/Maejima_Hisoka	http://en.wikipedia.org/wiki/Maejima_Hisoka?oldid=1095363458&ns=0
"Vander Clyde Broadway (December 19, 1899 – August 5, 1973), stage name Barbette, was an American female impersonator, high-wire performer, and trapeze artist born in Texas. Barbette attained great popularity throughout the United States but his greatest fame came in Europe and especially Paris, in the 1920s and 1930s."	"http://dbpedia.org/resource/Round_Rock,_Texas"	Barbette (performer)	https://dbpedia.org/page/Barbette_(performer)	http://en.wikipedia.org/wiki/Barbette_(performer)?oldid=1115769372&ns=0
"Lars Vegard (3 February 1880 – 21 December 1963) was a Norwegian physicist who is a pioneer in crystallography. He also made contributions to materials science and the science of aurora borealis. The Vegard's law in solid state chemistry and materials science, the only law of nature formulated by a Norwegian, is named after him."	http://dbpedia.org/resource/Fridtjof_Nansen_Prize_for_Outstanding_Research	Lars Vegard	https://dbpedia.org/page/Lars_Vegard	http://en.wikipedia.org/wiki/Lars_Vegard?oldid=1107819986&ns=0
Josef Gočár (13 March 1880 in Semín – 10 September 1945 in Jičín) was a Czech architect. It was one of the founders of modern architecture in Czech Republic.	http://commons.wikimedia.org/wiki/Special:FilePath/Josef_Gočár_(1880-1945).jpg?width=300	Josef Gočár	https://dbpedia.org/page/Josef_Go%C4%8D%C3%A1r	http://en.wikipedia.org/wiki/Josef_Gočár?oldid=1124127713&ns=0
Franco Caracciolo (29 March 1920 – 28 September 1999) was an Italian conductor.	http://commons.wikimedia.org/wiki/Special:FilePath/Franco_Caracciolo.jpg?width=300	Franco Caracciolo	https://dbpedia.org/page/Franco_Caracciolo	http://en.wikipedia.org/wiki/Franco_Caracciolo?oldid=1066050623&ns=0
"Lipová-lázně (until 1960 Dolní Lipová; German: Bad Lindewiese) is a spa municipality and village in Jeseník District in the Olomouc Region of the Czech Republic. It has about 2,100 inhabitants."	http://dbpedia.org/resource/Czechia	Lipová-lázně	https://dbpedia.org/page/Lipov%C3%A1-l%C3%A1zn%C4%9B	http://en.wikipedia.org/wiki/Lipová-lázně?oldid=1094321235&ns=0
"The 12th European Athletics Championships were held from 29 August to 3 September 1978 in the Stadion Evžena Rošického in Prague, the capital city of Czechoslovakia (present-day Czech Republic). Contemporaneous reports on the event were given in the Glasgow Herald. There were a number of disqualifications because of infringements of IAAF doping rules resulting in 18-month bans for shot putter Yevgeniy Mironov, javelin thrower Vasiliy Yershov, and pentathletes Nadiya Tkachenko and , all competing for the Soviet Union, as well as shot putter Elena Stoyanova from Bulgaria."	http://commons.wikimedia.org/wiki/Special:FilePath/1978prague.jpg?width=300	1978 European Athletics Championships	https://dbpedia.org/page/1978_European_Athletics_Championships	http://en.wikipedia.org/wiki/1978_European_Athletics_Championships?oldid=1113303272&ns=0
"Bingerbrück (German pronunciation: [bɪŋɐˈbʁʏk]) is a Stadtteil of Bingen am Rhein, on the opposite side of the river Nahe from the old town of Bingen. It was self-administering until 1969."	http://commons.wikimedia.org/wiki/Special:FilePath/Bingerbrück_Drususbrücke_Nahe_(01).jpg?width=300	Bingerbrück	https://dbpedia.org/page/Bingerbr%C3%BCck	http://en.wikipedia.org/wiki/Bingerbrück?oldid=1106619391&ns=0
"Krzysztof Baranowski (born 26 June 1938, in Lwów) – yachtsman, sailing captain, journalist, teacher, member of the Council Board of Polish Maritime Foundation. He is the first Pole to sail twice single-handed around the globe. He is a graduate of the Wroclaw University of Technology (engineer of electronics) and High School of the Journalists in Warsaw."	http://commons.wikimedia.org/wiki/Special:FilePath/Krzysztof_Baranowski_na_Chopinie_cropped.jpg?width=300	Krzysztof Baranowski	https://dbpedia.org/page/Krzysztof_Baranowski	http://en.wikipedia.org/wiki/Krzysztof_Baranowski?oldid=1035846175&ns=0
"Lev Lvovich Sedov (Russian: Лев Львович Седов, also known as Leon Sedov; 24 February 1906 – 16 February 1938) was the first son of the Russian communist leader Leon Trotsky and his second wife Natalia Sedova. He was born when his father was in prison facing life imprisonment for having participated in the Revolution of 1905."	http://commons.wikimedia.org/wiki/Special:FilePath/Grave-Leon-Sedov.jpg?width=300	Lev Sedov	https://dbpedia.org/page/Lev_Sedov	http://en.wikipedia.org/wiki/Lev_Sedov?oldid=1109620784&ns=0
"The Volkswagen Foundation (German: VolkswagenStiftung) is the largest German private nonprofit organization involved in the promotion and support of academic research. It is not affiliated to the present company, the Volkswagen Group. It was established in 1961 as Stiftung Volkswagenwerk with a portion of the confiscated assets of the Volkswagenwerk GmbH."	http://www.volkswagenstiftung.de/en/foundation.html	Volkswagen Foundation	https://dbpedia.org/page/Volkswagen_Foundation	http://en.wikipedia.org/wiki/Volkswagen_Foundation?oldid=1101218564&ns=0
"Philippe-Auguste Jeanron (10 May 1809 – 8 April 1877) was a French painter, curator and writer. Throughout his life he was a passionate republican. His genre pictures typically depicted common people. He opposed the July Monarchy. After the February Revolution of 1848 was made head of National Museums and Director of the Louvre, where he introduced important innovations in the preservation, classification and arrangement of the collections. Later he became director of the museum in Marseilles."	http://dbpedia.org/resource/Corrèze	Philippe-Auguste Jeanron	https://dbpedia.org/page/Philippe-Auguste_Jeanron	http://en.wikipedia.org/wiki/Philippe-Auguste_Jeanron?oldid=1087812436&ns=0
"Giuseppe Piermarini (Italian pronunciation: [dʒuˈzɛppe ˌpjɛrmaˈriːni]; 18 July 1734 – 18 February 1808) was an Italian architect who trained with Luigi Vanvitelli in Rome and designed the Teatro alla Scala in Milan (1776–78), which remains the work by which he is remembered. Indeed, ""il Piermarini"" serves as an occasional journalistic synonym for the celebrated opera house. Piermarini was appointed professor in the Academy of Fine Arts of Brera, better known as Brera Academy, Milan, when it was formally founded in 1776."	http://dbpedia.org/resource/Italians	Giuseppe Piermarini	https://dbpedia.org/page/Giuseppe_Piermarini	http://en.wikipedia.org/wiki/Giuseppe_Piermarini?oldid=1108069294&ns=0
"Carl Watzinger (9 June 1877 in Darmstadt – 8 December 1948 in Tübingen) was a German archaeologist, who with Ernst Sellin, worked on uncovering the site of the ancient city of Jericho (1907–09), and earlier, with Heinrich Kohl (1877–1914), conducted excavations at Capernaum (1905)."	http://commons.wikimedia.org/wiki/Special:FilePath/1905_-_Heinrich_Kohl_and_Carl_Watzinger_working_in_the_synagogue_in_Capernaum.jpg?width=300	Carl Watzinger	https://dbpedia.org/page/Carl_Watzinger	http://en.wikipedia.org/wiki/Carl_Watzinger?oldid=1122152111&ns=0
"Gisela Karau (birth name: Wilczynski; 28 March 1932 in Berlin – 9 April 2010 in Berlin) was an East German journalist and author of children's literature. Born in Berlin, she was married and had two children."	http://www.berlinonline.de/berliner-zeitung/archiv/.bin/dump.fcgi/2010/0414/feuilleton/0101/index.html	Gisela Karau	https://dbpedia.org/page/Gisela_Karau	http://en.wikipedia.org/wiki/Gisela_Karau?oldid=1107201877&ns=0
"Jonatha Brooke (born January 23, 1964) is an American folk rock singer-songwriter and guitarist from Massachusetts, United States. Her music merges elements of folk, rock and pop, often with poignant lyrics and complex harmonies. She has been a performer, writer, and artist since the late 1980s, and her songs have been used in television shows and movies."	http://dbpedia.org/resource/The_Story_(American_band)	Jonatha Brooke	https://dbpedia.org/page/Jonatha_Brooke	http://en.wikipedia.org/wiki/Jonatha_Brooke?oldid=1113255408&ns=0
"Percy Goetschius (August 10, 1853 – October 29, 1943) was an American music theorist and teacher who won international fame in the teaching of composition."	"http://dbpedia.org/resource/Manchester,_New_Hampshire"	Percy Goetschius	https://dbpedia.org/page/Percy_Goetschius	http://en.wikipedia.org/wiki/Percy_Goetschius?oldid=1096058422&ns=0
Jean Carrière (born 6 August 1928 – 7–8 May 2005) was a French writer.	http://commons.wikimedia.org/wiki/Special:FilePath/Jean_Carriere.jpg?width=300	Jean Carrière	https://dbpedia.org/page/Jean_Carri%C3%A8re	http://en.wikipedia.org/wiki/Jean_Carrière?oldid=1082674775&ns=0
"Andronikos III Palaiologos (Medieval Greek: Ἀνδρόνικος Δούκας Ἄγγελος Κομνηνός Παλαιολόγος, romanized: Andrónikos Doúkās Ángelos Komnēnós Palaiológos; 25 March 1297 – 15 June 1341), commonly Latinized as Andronicus III Palaeologus, was the Byzantine emperor from 1328 to 1341. He was the son of Michael IX Palaiologos and Rita of Armenia. He was proclaimed co-emperor in his youth, before 1313, and in April 1321 he rebelled in opposition to his grandfather, Andronikos II Palaiologos. He was formally crowned co-emperor in February 1325, before ousting his grandfather outright and becoming sole emperor on 24 May 1328."	http://dbpedia.org/resource/Michael_Palaiologos_(son_of_Andronikos_III)	Andronikos III Palaiologos	https://dbpedia.org/page/Andronikos_III_Palaiologos	http://en.wikipedia.org/wiki/Andronikos_III_Palaiologos?oldid=1124847985&ns=0
"Muḥammad ibn al-Ḥasan al-Mahdī (Arabic: محمد بن الحسن المهدي) is believed by the Twelver Shia to be the last of the Twelve Imams and the eschatological Mahdi, who will emerge in the end of time to establish peace and justice and redeem Islam."	http://dbpedia.org/resource/Abbasid_Samarra	Muhammad al-Mahdi	https://dbpedia.org/page/Muhammad_al-Mahdi	http://en.wikipedia.org/wiki/Muhammad_al-Mahdi?oldid=1123416927&ns=0
